Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
1	0.5556977	0.1426396	0.1426396	0.0000000	0.0000000	
2	0.4123291	0.0790107	0.0785328	0.0004778	0.0000000	
3	6.0939560	17.1543300	17.1538500	0.0004778	0.0000000	
4	0.1238387	0.0070840	0.0070840	0.0000000	0.0000000	
5	0.2098420	0.0203399	0.0203399	0.0000000	0.0000000	
6	2.7805820	3.5713690	3.5713690	0.0000000	0.0000000	
7	0.0157220	0.0001142	0.0001142	0.0000000	0.0000000	
8	0.0103159	0.0001274	0.0000492	0.0000782	0.0000000	
9	0.0675951	0.0021888	0.0021105	0.0000782	0.0000000	
10	0.1284941	0.0076266	0.0076266	0.0000000	0.0000000	
11	0.3055897	0.0431361	0.0431361	0.0000001	0.0000000	
12	0.8112205	0.3039772	0.3039772	0.0000001	0.0000000	
13	0.0077210	0.0000275	0.0000275	0.0000000	0.0000000	
14	0.0264307	0.0003359	0.0003227	0.0000132	0.0000000	
15	0.0393824	0.0056032	0.0007164	0.0048766	0.0000102	
16	0.0983666	0.0045690	0.0044695	0.0000995	0.0000000	
17	0.0707688	0.0031119	0.0023134	0.0007985	0.0000000	
18	1.2781450	0.7603899	0.7546110	0.0057760	0.0000030	
19	0.1637972	0.0123930	0.0123930	0.0000000	0.0000000	
20	0.1646111	0.0125165	0.0125165	0.0000000	0.0000000	
21	0.2075745	0.0199063	0.0199027	0.0000036	0.0000000	
22	0.0058185	0.0000193	0.0000156	0.0000036	0.0000000	
23	0.0202996	0.0001903	0.0001903	0.0000000	0.0000000	
24	0.0112423	0.0000584	0.0000584	0.0000000	0.0000000	
25	0.0211677	0.0002070	0.0002070	0.0000000	0.0000000	
26	0.0114591	0.0001611	0.0000607	0.0001005	0.0000000	
27	0.0477630	0.0012505	0.0010538	0.0001967	0.0000000	
28	0.0140738	0.0003897	0.0000915	0.0002280	0.0000702	
29	0.1051729	0.0052099	0.0051094	0.0001005	0.0000000	
30	0.0532779	0.0014886	0.0013112	0.0001775	0.0000000	
31	0.0181192	0.0001516	0.0001516	0.0000000	0.0000000	
32	0.0195083	0.0001758	0.0001758	0.0000000	0.0000000	
33	0.8559179	0.3384328	0.3383976	0.0000352	0.0000000	
34	0.0137820	0.0000929	0.0000877	0.0000052	0.0000000	
35	0.0151382	0.0001110	0.0001059	0.0000052	0.0000000	
36	0.3604038	0.0599999	0.0599987	0.0000012	0.0000000	
37	0.1784695	0.0149846	0.0147127	0.0002719	0.0000000	
38	0.0101968	0.0000480	0.0000480	0.0000000	0.0000000	
39	0.0827241	0.0031896	0.0031610	0.0000286	0.0000000	
40	0.0047663	0.0000105	0.0000105	0.0000000	0.0000000	
41	0.4250266	0.0834440	0.0834440	0.0000000	0.0000000	
42	0.0161869	0.0001210	0.0001210	0.0000000	0.0000000	
43	0.0182028	0.0001640	0.0001531	0.0000110	0.0000000	
44	0.0047506	0.0000109	0.0000104	0.0000005	0.0000000	
45	0.0012262	0.0000018	0.0000007	0.0000011	0.0000000	
46	0.0026139	0.0000032	0.0000032	0.0000000	0.0000000	
47	0.0864732	0.0034718	0.0034540	0.0000177	0.0000000	
48	0.0045184	0.0000096	0.0000094	0.0000001	0.0000000	
49	0.2050731	0.0233387	0.0194259	0.0039128	0.0000000	
50	0.2087431	0.0201274	0.0201274	0.0000000	0.0000000	
51	0.0087744	0.0000366	0.0000356	0.0000011	0.0000000	
52	0.0256257	0.0003084	0.0003033	0.0000051	0.0000000	
53	0.0027694	0.0000041	0.0000035	0.0000005	0.0000000	
54	0.5502613	0.1398630	0.1398625	0.0000005	0.0000000	
55	0.2304136	0.0284359	0.0245233	0.0039126	0.0000000	
56	4.0509260	7.5803480	7.5800460	0.0003016	0.0000000	
57	0.0253361	0.0002965	0.0002965	0.0000000	0.0000000	
58	0.0553135	0.0014133	0.0014133	0.0000000	0.0000000	
59	0.0663655	0.0021122	0.0020345	0.0000777	0.0000000	
60	0.8435728	0.3287067	0.3287065	0.0000002	0.0000000	
61	0.0456827	0.0009641	0.0009640	0.0000001	0.0000000	
62	0.0031356	0.0000284	0.0000045	0.0000239	0.0000000	
63	0.0119515	0.0000660	0.0000660	0.0000001	0.0000000	
64	0.0050474	0.0000118	0.0000118	0.0000000	0.0000000	
65	0.0154032	0.0001096	0.0001096	0.0000000	0.0000000	
66	0.1590733	0.0143001	0.0116885	0.0026093	0.0000024	
