Node	dA	dPC	dPCintra	dPCflux	dPCconnector	
1	0.5556977	0.0472277	0.0472193	0.0000084	0.0000000	
2	0.4123291	0.7030064	0.0259974	0.6770090	0.0000000	
3	6.0939560	6.3556130	5.6785960	0.6770164	0.0000005	
4	0.1238387	0.0029952	0.0023451	0.0006501	0.0000000	
5	0.2098420	0.0073834	0.0067333	0.0006501	0.0000000	
6	2.7805820	1.5882420	1.1822630	0.4059792	0.0000000	
7	0.0157220	0.0068236	0.0000378	0.0067858	0.0000000	
8	0.0103159	0.0210076	0.0000163	0.0077348	0.0132566	
9	0.0675951	0.2841304	0.0006987	0.0501856	0.2332461	
10	0.1284941	0.0582335	0.0025247	0.0557088	0.0000000	
11	0.3055897	0.4030236	0.0142797	0.1800749	0.2086689	
12	0.8112205	0.4204976	0.1006283	0.3198646	0.0000047	
13	0.0077210	0.0001097	0.0000091	0.0000989	0.0000017	
14	0.0264307	0.0133820	0.0001068	0.0132752	0.0000000	
15	0.0393824	0.0227291	0.0002372	0.0213773	0.0011146	
16	0.0983666	0.0497657	0.0014796	0.0482862	0.0000000	
17	0.0707688	0.0674625	0.0007658	0.0376034	0.0290933	
18	1.2781450	0.4939392	0.2498057	0.2321895	0.0119441	
19	0.1637972	0.1550430	0.0041026	0.0683024	0.0826381	
20	0.1646111	0.1163187	0.0041434	0.0634199	0.0487553	
21	0.2075745	0.1316505	0.0065886	0.0723824	0.0526796	
22	0.0058185	0.0021981	0.0000052	0.0021930	0.0000000	
23	0.0202996	0.0354608	0.0000630	0.0101582	0.0252395	
24	0.0112423	0.0154383	0.0000193	0.0123207	0.0030982	
25	0.0211677	0.0204885	0.0000685	0.0203668	0.0000532	
26	0.0114591	0.0174175	0.0000201	0.0173974	0.0000000	
27	0.0477630	0.0937966	0.0003488	0.0878141	0.0056336	
28	0.0140738	0.0360393	0.0000303	0.0266336	0.0093754	
29	0.1051729	0.2258704	0.0016914	0.1624853	0.0616937	
30	0.0532779	0.0999093	0.0004340	0.0994752	0.0000000	
31	0.0181192	0.0100714	0.0000502	0.0100212	0.0000000	
32	0.0195083	0.0205756	0.0000582	0.0183648	0.0021526	
33	0.8559179	1.7793380	0.1120228	1.5753960	0.0919193	
34	0.0137820	0.0259049	0.0000290	0.0184696	0.0074062	
35	0.0151382	0.0192544	0.0000350	0.0192193	0.0000000	
36	0.3604038	0.8046205	0.0198619	0.7560566	0.0287020	
37	0.1784695	0.4210453	0.0048705	0.4161748	0.0000000	
38	0.0101968	0.0004399	0.0000159	0.0004240	0.0000000	
39	0.0827241	0.1960251	0.0010464	0.1949787	0.0000000	
40	0.0047663	0.0002750	0.0000035	0.0002332	0.0000383	
41	0.4250266	0.5382982	0.0276232	0.5106749	0.0000000	
42	0.0161869	0.0040378	0.0000401	0.0039977	0.0000000	
43	0.0182028	0.0010879	0.0000507	0.0010372	0.0000000	
44	0.0047506	0.0002834	0.0000035	0.0002799	0.0000000	
45	0.0012262	0.0000770	0.0000002	0.0000768	0.0000000	
46	0.0026139	0.0001461	0.0000010	0.0001450	0.0000000	
47	0.0864732	0.0049036	0.0011434	0.0034610	0.0002991	
48	0.0045184	0.0002732	0.0000031	0.0002655	0.0000045	
49	0.2050731	0.4848616	0.0064307	0.3651042	0.1133267	
50	0.2087431	0.1171687	0.0066630	0.1071384	0.0033673	
51	0.0087744	0.0005649	0.0000118	0.0005455	0.0000076	
52	0.0256257	0.0016236	0.0001004	0.0014830	0.0000402	
53	0.0027694	0.0002636	0.0000012	0.0001762	0.0000862	
54	0.5502613	0.6234763	0.0462999	0.5126993	0.0644771	
55	0.2304136	0.5893867	0.0081182	0.3972068	0.1840617	
56	4.0509260	9.4770060	2.5092910	5.7919250	1.1757900	
57	0.0253361	0.0011809	0.0000982	0.0010827	0.0000000	
58	0.0553135	0.0085057	0.0004678	0.0063790	0.0016588	
59	0.0663655	0.0126930	0.0006735	0.0085371	0.0034824	
60	0.8435728	2.1557410	0.1088147	1.5604560	0.4864702	
61	0.0456827	0.0030602	0.0003191	0.0021997	0.0005414	
62	0.0031356	0.0011480	0.0000015	0.0003530	0.0007935	
63	0.0119515	0.0008408	0.0000218	0.0006386	0.0001803	
64	0.0050474	0.0002520	0.0000039	0.0002481	0.0000000	
65	0.0154032	0.0018008	0.0000363	0.0017645	0.0000000	
66	0.1590733	0.0152216	0.0038693	0.0104719	0.0008804	
67	0.0911461	0.0170277	0.0012703	0.0112086	0.0045488	
68	0.3137403	0.5276131	0.0150516	0.3553491	0.1572123	
69	0.0824022	0.0110630	0.0010383	0.0082555	0.0017692	
70	0.0188296	0.0023601	0.0000542	0.0020457	0.0002602	
71	0.0559941	0.0081242	0.0004794	0.0074374	0.0002074	
72	0.0710415	0.0047263	0.0007717	0.0037722	0.0001823	
73	0.0159469	0.0005520	0.0000389	0.0005131	0.0000000	
