"Node","dA","dPC","dPCintra","dPCflux","dPCconnector","Component","BC"
1,0.5556977,0.119441,0.119441,0,0,1,0
2,0.4123291,0.180532,0.0657604,0.1147716,0,2,0
3,6.093956,14.47875,14.36398,0.1147716,0,2,0
4,0.1238387,0.0059318,0.0059318,0,0,3,0
5,0.209842,0.0170318,0.0170318,0,0,4,0
6,2.780582,2.990531,2.990528,3.8e-06,0,5,0
7,0.015722,9.56e-05,9.56e-05,0,0,6,0
8,0.0103159,0.00031,4.12e-05,0.0002679,9e-07,7,0
9,0.0675951,0.0020399,0.0017673,0.0002724,2e-07,7,0
10,0.1284941,0.0063949,0.0063862,8.7e-06,0,8,0
11,0.3055897,0.0373164,0.0361205,0.0011959,0,9,0
12,0.8112205,0.2557409,0.2545389,0.0012021,0,10,0
13,0.007721,2.31e-05,2.31e-05,0,0,11,0
14,0.0264307,0.0022219,0.0002702,0.0019517,0,12,0
15,0.0393824,0.0210093,0.0005999,0.0188224,0.0015869,12,1.12e-05
16,0.0983666,0.0132243,0.0037426,0.0094817,0,12,0
17,0.0707688,0.0171155,0.0019371,0.0151772,1.1e-06,12,0
18,1.278145,0.6765882,0.6318824,0.0442146,0.0004911,12,1.87e-05
19,0.1637972,0.0104143,0.0103774,3.69e-05,0,13,0
20,0.1646111,0.0106234,0.0104808,0.0001424,1e-07,14,0
21,0.2075745,0.0169114,0.0166657,0.0002452,4e-07,15,0
22,0.0058185,0.0001518,1.31e-05,0.0001387,0,15,0
23,0.0202996,0.0001594,0.0001594,0,0,16,0
24,0.0112423,5.8e-05,4.89e-05,9.2e-06,0,17,0
25,0.0211677,0.0001825,0.0001733,9.2e-06,0,18,0
26,0.0114591,0.000469,5.08e-05,0.0004182,0,19,0
27,0.047763,0.0035037,0.0008824,0.0026213,0,20,0
28,0.0140738,0.0035706,7.66e-05,0.0014654,0.0020285,20,7.5e-06
29,0.1051729,0.0046981,0.0042784,0.0004196,0,19,0
30,0.0532779,0.004775,0.0010979,0.003677,0,20,0
31,0.0181192,0.000127,0.000127,0,0,21,0
32,0.0195083,0.0001473,0.0001472,1e-07,0,22,0
33,0.8559179,0.2916736,0.2833612,0.0082846,2.77e-05,20,0
34,0.013782,0.000122,7.35e-05,4.85e-05,0,23,0
35,0.0151382,0.0001371,8.86e-05,4.84e-05,0,23,0
36,0.3604038,0.0611285,0.0502406,0.0108879,0,24,0
37,0.1784695,0.0538538,0.0123198,0.041534,0,25,0
38,0.0101968,4.2e-05,4.02e-05,1.8e-06,0,26,0
39,0.0827241,0.0144107,0.0026469,0.0117638,0,27,0
40,0.0047663,1.09e-05,8.8e-06,2.1e-06,0,28,0
41,0.4250266,0.0698731,0.0698728,3e-07,0,29,0
42,0.0161869,0.0001013,0.0001013,0,0,30,0
43,0.0182028,0.0003813,0.0001282,0.0002531,0,31,0
44,0.0047506,4.58e-05,8.7e-06,3.71e-05,0,31,0
45,0.0012262,2.2e-05,6e-07,2.14e-05,0,31,4.4e-06
46,0.0026139,5.4e-06,2.6e-06,2.7e-06,0,31,0
47,0.0864732,0.0034954,0.0028923,0.0005878,1.53e-05,31,5.37e-05
48,0.0045184,2.11e-05,7.9e-06,1.29e-05,2e-07,31,3e-05
49,0.2050731,0.0345403,0.0162665,0.0178219,0.0004519,32,0
50,0.2087431,0.0168539,0.0168539,0,0,33,0
51,0.0087744,0.000119,2.98e-05,8.79e-05,1.3e-06,31,6.25e-05
52,0.0256257,0.0005271,0.000254,0.0002701,3e-06,31,2.56e-05
53,0.0027694,3.55e-05,3e-06,2.33e-05,9.1e-06,31,3e-05
54,0.5502613,0.1191173,0.1171155,0.0020019,0,34,0
55,0.2304136,0.0376294,0.0205349,0.0170944,0,32,0
56,4.050926,6.414555,6.347241,0.0672158,9.77e-05,25,0
57,0.0253361,0.0002483,0.0002483,0,0,35,0
58,0.0553135,0.001187,0.0011834,3.6e-06,0,36,0
59,0.0663655,0.0032233,0.0017036,0.0015196,0,37,0
60,0.8435728,0.2775228,0.2752462,0.0022763,3e-07,38,0
61,0.0456827,0.000849,0.0008072,4.15e-05,2e-07,31,0
62,0.0031356,0.0001588,3.8e-06,0.000155,0,39,0
63,0.0119515,7.84e-05,5.52e-05,2.28e-05,3e-07,40,0
64,0.0050474,1.2e-05,9.9e-06,2.1e-06,0,41,0
65,0.0154032,9.19e-05,9.18e-05,1e-07,0,42,0
66,0.1590733,0.0122083,0.0097875,0.0024048,1.6e-05,39,3.7e-06
67,0.0911461,0.007644,0.0032133,0.003957,0.0004737,37,3.7e-06
68,0.3137403,0.0400751,0.038073,0.0020021,0,43,0
69,0.0824022,0.0026297,0.0026264,3.4e-06,0,44,0
70,0.0188296,0.0024191,0.0001371,0.002282,0,39,0
71,0.0559941,0.0045977,0.0012127,0.003385,0,37,0
72,0.0710415,0.0019522,0.0019521,2e-07,0,45,0
73,0.0159469,0.0001524,9.84e-05,5.41e-05,0,46,0
74,0.0116386,5.25e-05,5.24e-05,2e-07,0,47,0
75,0.0385417,0.0005749,0.0005746,4e-07,0,48,0
76,0.177721,0.0137114,0.0122167,0.0014947,0,49,0
77,0.0127166,0.0001166,6.25e-05,5.41e-05,0,46,0
78,2.06936,1.656674,1.656336,0.0003384,0,50,0
79,0.0102781,0.0001337,4.09e-05,7.83e-05,1.45e-05,51,3.7e-06
80,0.0205148,0.0018823,0.0001628,0.001106,0.0006135,49,7.5e-06
81,0.0049137,4.63e-05,9.3e-06,3.69e-05,0,51,0
82,0.0285325,0.0005238,0.0003149,0.0002088,0,52,0
83,0.0242167,0.0012037,0.0002268,0.000789,0.0001878,49,7.5e-06
84,0.0316492,0.000459,0.0003874,7.16e-05,0,51,0
85,0.018743,0.0001359,0.0001359,0,0,53,0
86,0.0418821,0.0008872,0.0006785,0.0002087,0,52,0
87,0.0557251,0.0015386,0.0012011,0.0003358,1.7e-06,49,0
88,0.027476,0.0003707,0.000292,7.87e-05,0,54,0
89,0.0152251,0.0001769,8.97e-05,8.45e-05,2.7e-06,54,0
90,0.0493626,0.0013161,0.0009425,0.0003736,0,55,0
91,0.0109721,0.0004201,4.66e-05,0.0003735,0,55,0
92,0.2660577,0.0276397,0.0273796,0.0002601,0,56,0
93,0.0341213,0.0004695,0.0004503,1.92e-05,0,57,0
94,0.0244246,0.0006425,0.0002307,0.0004065,5.2e-06,58,0
95,0.0497262,0.001517,0.0009564,0.0005606,0,59,0
96,0.0356968,0.0008508,0.0004929,0.0003579,0,59,0
97,0.0095109,3.5e-05,3.5e-05,1e-07,0,60,0
98,0.201749,0.0201837,0.0157434,0.0044403,0,61,0
99,0.0474541,0.0012762,0.000871,0.0004051,0,58,0
100,0.0228537,0.0013439,0.000202,0.000784,0.0003579,59,0.0002436
101,0.0262982,0.0032793,0.0002675,0.002608,0.0004037,59,0.0002998
102,0.0211758,0.0006159,0.0001734,0.0004425,0,59,0
103,0.0053361,2.91e-05,1.1e-05,1.81e-05,0,62,0
104,0.0778111,0.2748407,0.0023419,0.0710335,0.2014653,59,8.62e-05
105,0.1064097,0.0043979,0.0043796,1.83e-05,0,63,0
106,0.1780824,0.0167068,0.0122664,0.0044404,0,61,0
107,0.2315336,0.3728637,0.020735,0.1814712,0.1706574,59,0.0001649
108,0.0404956,0.0088821,0.0006343,0.0082479,0,59,0
109,1.32725,0.9576404,0.6813679,0.2762676,4.9e-06,59,0
110,0.0622276,0.0210532,0.0014978,0.0135521,0.0060032,59,0
111,1e-07,0,0,0,0,59,0
112,0.0445024,0.0102147,0.000766,0.0078106,0.001638,59,0.0003767
113,0.006589,1.72e-05,1.68e-05,4e-07,0,64,0
114,0.0102006,0.0001391,4.02e-05,9.88e-05,0,59,0
115,0.8080186,0.5889967,0.2525335,0.3157848,0.0206783,59,0.000536
116,0.0024423,2.7e-06,2.3e-06,4e-07,0,65,0
117,0.1851051,0.0137329,0.013253,0.00048,0,66,0
118,0.0066277,0.0028432,1.7e-05,0.0005857,0.0022404,59,0.0002361
119,0.0047206,8.7e-06,8.6e-06,1e-07,0,67,0
120,0.0059108,0.0001008,1.35e-05,8.69e-05,3e-07,66,0
121,0.0072197,0.0004978,2.02e-05,0.0004087,6.9e-05,66,3.7e-06
122,0.0626229,0.0050875,0.0015169,0.0030109,0.0005596,59,0.0001687
123,0.0032122,5.3e-06,4e-06,1.3e-06,0,68,0
124,0.2000327,0.0580459,0.0154767,0.0335873,0.0089819,59,0.0005191
125,0.0264227,0.0002701,0.00027,1e-07,0,69,0
126,0.0027689,3.9e-06,3e-06,9e-07,0,68,0
127,0.1296443,0.0461323,0.006501,0.0320174,0.0076138,59,0.0002698
128,0.0426876,0.0020298,0.0007048,0.0012709,5.4e-05,59,0
129,0.0069597,0.0016539,1.87e-05,0.0016351,0,59,0
130,0.0013043,0.0001738,7e-07,0.0001732,0,70,0
131,0.0202823,0.001033,0.0001591,0.0008633,1.05e-05,59,0
132,0.0172623,0.0036147,0.0001153,0.002217,0.0012824,71,0
133,0.2951311,0.0595186,0.0336904,0.0258195,8.6e-06,72,0
134,0.0031754,7.76e-05,3.9e-06,6.77e-05,5.9e-06,59,0
135,0.4018971,0.0980725,0.062475,0.035392,0.0002055,59,0.0001687
136,0.0375236,0.000769,0.0005446,0.0002139,1.04e-05,73,0
137,0.0076822,4.02e-05,2.28e-05,1.6e-05,1.3e-06,74,0
138,0.0132741,0.0001869,6.82e-05,0.0001175,1.2e-06,73,0
139,0.0144762,0.0019641,8.11e-05,0.0018831,0,70,0
140,0.0020234,1.03e-05,1.6e-06,8.5e-06,1e-07,74,0
141,0.1294957,0.0322917,0.0064862,0.0258056,0,72,0
142,0.1066926,0.0448835,0.004403,0.0258962,0.0145843,59,0.0001012
143,0.0123169,5.87e-05,5.87e-05,0,0,75,0
144,0.0158394,0.0001277,9.7e-05,3.03e-05,3e-07,76,0
145,0.296925,0.0851945,0.0341012,0.0453646,0.0057287,59,8.99e-05
146,0.0060864,1.45e-05,1.43e-05,2e-07,0,77,0
147,0.0517427,0.0019186,0.0010356,0.0008831,0,78,0
148,0.0150047,0.0002215,8.71e-05,0.0001239,1.04e-05,76,3.7e-06
149,0.0095826,0.0009318,3.55e-05,0.0008963,0,70,0
150,0.0144068,0.0001974,8.03e-05,0.0001171,0,76,0
151,0.0039741,1.32e-05,6.1e-06,7.1e-06,0,79,0
152,0.0060253,5.88e-05,1.4e-05,4.47e-05,0,80,0
153,0.0142232,8.53e-05,7.82e-05,7.1e-06,0,79,0
154,0.0509693,0.0486205,0.0010048,0.0476153,3e-07,71,0
155,1.412775,0.7870273,0.7720091,0.0149918,2.63e-05,81,3.7e-06
156,0.0038851,0.0007928,5.8e-06,0.000787,0,81,0
157,0.0025675,0.000744,2.5e-06,0.0007414,0,81,0
158,0.0553877,0.0013684,0.0011866,0.0001816,1e-07,82,0
159,0.4529783,0.0967026,0.0793654,0.0168917,0.0004455,70,2.25e-05
160,0.0163835,0.0066539,0.0001038,0.0065501,0,71,0
161,0.0176042,0.0030774,0.0001199,0.0029575,0,70,0
162,1.23622,0.6553838,0.5911097,0.0635395,0.0007346,71,2.25e-05
163,0.0266075,0.0003747,0.0002738,0.0001009,0,83,0
164,0.1276625,0.0063285,0.0063038,2.47e-05,0,84,0
165,0.1456936,0.0082619,0.0082103,5.16e-05,0,85,0
166,0.1158667,0.0117645,0.0051927,0.0065604,1.13e-05,71,0
167,0.041093,0.0069945,0.0006531,0.0063413,0,86,0
168,0.0332268,0.000427,0.000427,0,0,87,0
169,0.0400728,0.0006441,0.0006211,2.3e-05,0,88,0
170,0.0338835,0.0025859,0.0004441,0.0021418,0,89,0
171,0.2785209,0.0321467,0.0300049,0.0021418,0,89,0
172,0.6517977,0.1707647,0.1643243,0.0064384,1.8e-06,86,0
173,0.0068733,0.0003125,1.83e-05,0.0002942,0,90,0
174,0.0841435,0.0027458,0.0027385,7.2e-06,0,91,0
175,0.3639058,0.0523237,0.0512217,0.0010995,2.4e-06,90,0
176,0.0118593,6.16e-05,5.44e-05,7.2e-06,0,92,0
177,0.0695172,0.0026565,0.0018692,0.0007873,0,93,0
178,0.0054066,2e-05,1.13e-05,8.7e-06,0,94,0
179,0.1022343,0.007644,0.0040427,0.0036013,0,95,0
180,0.0894565,0.006702,0.0030953,0.0036036,3.1e-06,95,0
181,0.0552028,0.0011789,0.0011787,2e-07,0,96,0
182,0.2304141,0.020535,0.020535,0,0,97,0
183,0.0167753,0.0001091,0.0001088,2e-07,0,98,0
184,0.0478047,0.0010312,0.0008839,0.0001473,0,99,0
185,0.0047836,0.0001075,8.9e-06,8.85e-05,1e-05,99,0
186,0.0067224,0.0001176,1.75e-05,0.0001001,0,99,0
187,0.0952249,0.0042178,0.0035073,0.0007104,0,100,0
188,0.0244839,0.0007569,0.0002319,0.000525,0,101,0
189,0.4987359,0.097375,0.0962094,0.0011653,2e-07,102,0
190,0.0182455,0.0003546,0.0001288,0.0002258,0,103,0
191,0.003779,5.6e-06,5.5e-06,1e-07,0,104,0
192,0.0940196,0.0040652,0.0034191,0.0006307,1.53e-05,103,0
193,0.0659818,0.0016864,0.0016839,2.5e-06,0,105,0
194,1.23605,0.614633,0.590947,0.0236784,7.5e-06,106,0
195,0.2695163,0.0514144,0.0280961,0.0233116,6.7e-06,106,0
196,0.0166027,0.0001295,0.0001066,2.29e-05,0,107,0
197,0.0066213,8.42e-05,1.7e-05,6.72e-05,0,108,0
198,0.0363958,0.0005252,0.0005124,1.28e-05,0,109,0
199,0.1521912,0.0093338,0.0089589,0.0003737,1.1e-06,108,0
200,0.010529,5.57e-05,4.29e-05,1.28e-05,0,110,0
201,0.0046538,8.4e-06,8.4e-06,1e-07,0,111,0
202,0.0170991,0.0001329,0.0001131,1.98e-05,0,112,0
203,0.0211697,0.0027986,0.0001733,0.0026253,0,113,0
204,0.1138692,0.0053473,0.0050152,0.0003315,5e-07,114,0
205,0.1167537,0.008464,0.0052725,0.0031252,6.62e-05,115,0
206,0.0141911,0.005478,7.79e-05,0.0054001,0,113,0
207,0.3521889,0.2874844,0.0479764,0.2338716,0.0056363,113,1.12e-05
208,0.0241398,0.0002261,0.0002254,7e-07,0,116,0
209,1.008164,0.6327088,0.3931323,0.238894,0.0006823,113,0
210,0.0199424,0.0001538,0.0001538,0,0,117,0
211,0.0576824,0.0012876,0.001287,7e-07,0,118,0
212,0.0391577,0.0005936,0.0005931,5e-07,0,119,0
213,0.0863619,0.0028848,0.0028848,0,0,120,0
214,0.4786185,0.0886044,0.0886044,0,0,121,0
215,0.030089,0.0003502,0.0003502,0,0,122,0
216,0.0211895,0.0001742,0.0001737,5e-07,0,123,0
217,0.0202156,0.0001581,0.0001581,0,0,124,0
218,0.2891346,0.0409071,0.0323353,0.0084375,0.0001343,125,3.7e-06
219,0.0359239,0.0074562,0.0004992,0.006957,0,125,0
220,0.0635927,0.0033911,0.0015642,0.0018269,0,125,0
221,0.0892215,0.003079,0.003079,0,0,126,0
222,0.0190767,0.0005702,0.0001408,0.0004295,0,127,0
223,0.281743,3.769063,0.0307031,0.8746799,2.863679,128,4.5e-05
224,0.1084262,0.1726622,0.0045472,0.168115,0,128,0
225,0.7677442,5.100423,0.2279866,2.267853,2.604583,128,8.25e-05
226,0.005049,0.0060971,9.9e-06,0.0060873,0,128,0
227,0.0181899,0.0127346,0.000128,0.0126066,0,128,0
228,2.110042,4.899173,1.722101,3.176866,0.000206,128,0
229,0.0101752,4.39e-05,4e-05,3.9e-06,0,129,0
230,0.0492266,0.0401618,0.0009373,0.0392245,0,128,0
231,0.3791642,0.3373477,0.0556072,0.2548484,0.0268921,128,4.5e-05
232,2.273129,7.087323,1.998593,4.261046,0.8276843,128,0.0002286
233,0.3239657,0.9249697,0.0405952,0.8843746,0,128,0
234,0.1146572,0.005097,0.0050849,1.22e-05,0,130,0
235,0.158124,0.4773198,0.009671,0.340024,0.1276247,128,8.25e-05
236,0.1391659,0.8155325,0.007491,0.3688607,0.4391807,128,0.0001124
237,0.0442559,0.1293082,0.0007576,0.0830152,0.0455354,128,0
238,0.0182323,0.0006615,0.0001286,0.0005248,8.1e-06,131,0
239,0.0339925,0.0548062,0.0004469,0.0543593,0,128,0
240,0.0218515,0.0004878,0.0001847,0.000302,1.1e-06,132,0
241,0.0326535,0.0006997,0.0004124,0.000287,2e-07,133,0
242,0.0989006,0.0043122,0.0037833,0.0005289,0,131,0
243,0.181095,0.0212719,0.012685,0.0085865,5e-07,134,0
244,0.0264596,0.0010693,0.0002708,0.0007985,0,134,0
245,0.2148551,0.0267234,0.0178553,0.0088127,5.53e-05,134,0
246,0.0163172,0.000103,0.000103,0,0,135,0
247,0.0025722,0.0002998,2.6e-06,0.0002672,3e-05,136,3.75e-05
248,0.0130317,0.0002151,6.57e-05,0.0001494,0,136,0
249,0.0610791,0.0110771,0.001443,0.0094314,0.0002026,136,6.75e-05
250,0.0139381,0.0002889,7.51e-05,0.0002137,0,137,0
251,0.059153,0.0274896,0.0013534,0.0259274,0.0002087,136,0
252,0.0538393,0.0011227,0.0011212,1.5e-06,0,138,0
253,0.2170195,0.1712243,0.0182169,0.1009298,0.0520776,136,6.75e-05
254,0.231304,0.1952371,0.0206939,0.1085219,0.0660212,136,8.99e-05
255,0.1331832,0.0867202,0.0068608,0.0614279,0.0184315,136,0
256,0.1851873,0.1460744,0.0132647,0.0919966,0.040813,136,0.0001049
257,0.0018584,0.0006616,1.3e-06,0.0006603,0,136,3e-05
258,0.0983761,0.0041948,0.0037433,0.0004515,0,139,0
259,0.091735,0.0191544,0.003255,0.0158995,0,136,0
260,0.0128309,0.0005152,6.37e-05,0.0004515,0,139,0
261,0.0050505,1.06e-05,9.9e-06,7e-07,0,140,0
262,0.1396279,0.058498,0.0075409,0.0392056,0.0117515,136,3.75e-05
263,0.0724833,0.0094651,0.0020321,0.007433,0,141,0
264,0.097491,0.0683113,0.0036763,0.0328997,0.0317353,136,3e-05
265,0.0432763,0.0020777,0.0007244,0.0013533,0,142,0
266,0.0187121,0.0001386,0.0001354,3.2e-06,0,143,0
267,0.0460483,0.002542,0.0008202,0.0016785,4.33e-05,144,0
268,0.1094106,0.0046333,0.0046301,3.2e-06,0,145,0
269,0.0159218,0.0014476,9.81e-05,0.0009164,0.0004332,144,1.12e-05
270,0.199394,0.0235093,0.015378,0.0079663,0.000165,141,3.7e-06
271,0.0400255,0.0014729,0.0006197,0.0007564,9.68e-05,144,1.5e-05
