Node,dA,dPC,dPCintra,dPCflux,dPCconnector,Component,BC
1,0.5556977,0.0472277,0.0472193,0.0000084,0,1,0
2,0.4123291,0.7030064,0.0259974,0.677009,0,2,0
3,6.093956,6.355613,5.678596,0.6770164,0.0000005,2,0
4,0.1238387,0.0029952,0.0023451,0.0006501,0,3,0
5,0.209842,0.0073834,0.0067333,0.0006501,0,3,0
6,2.780582,1.588242,1.182263,0.4059792,0,4,0
7,0.015722,0.0068236,0.0000378,0.0067858,0,4,1.90E-06
8,0.0103159,0.0210076,0.0000163,0.0077348,0.0132566,4,1.90E-06
9,0.0675951,0.2841304,0.0006987,0.0501856,0.2332461,4,1.90E-06
10,0.1284941,0.0582335,0.0025247,0.0557088,0,4,0
11,0.3055897,0.4030236,0.0142797,0.1800749,0.2086689,4,1.90E-06
12,0.8112205,0.4204976,0.1006283,0.3198646,0.0000047,4,0
13,0.007721,0.0001097,0.0000091,0.0000989,0.0000017,5,0
14,0.0264307,0.013382,0.0001068,0.0132752,0,6,0
15,0.0393824,0.0227291,0.0002372,0.0213773,0.0011146,6,0
16,0.0983666,0.0497657,0.0014796,0.0482862,0,6,0
17,0.0707688,0.0674625,0.0007658,0.0376034,0.0290933,6,0.0002844
18,1.278145,0.4939392,0.2498057,0.2321895,0.0119441,6,0.0002844
19,0.1637972,0.155043,0.0041026,0.0683024,0.0826381,6,0.0004905
20,0.1646111,0.1163187,0.0041434,0.0634199,0.0487553,6,0.0005251
21,0.2075745,0.1316505,0.0065886,0.0723824,0.0526796,6,0.001199
22,0.0058185,0.0021981,0.0000052,0.002193,0,6,0.0003366
23,0.0202996,0.0354608,0.000063,0.0101582,0.0252395,6,0.0018003
24,0.0112423,0.0154383,0.0000193,0.0123207,0.0030982,6,0
25,0.0211677,0.0204885,0.0000685,0.0203668,0.0000532,6,8.50E-06
26,0.0114591,0.0174175,0.0000201,0.0173974,0,6,8.50E-06
27,0.047763,0.0937966,0.0003488,0.0878141,0.0056336,6,2.10E-05
28,0.0140738,0.0360393,0.0000303,0.0266336,0.0093754,6,7.60E-06
29,0.1051729,0.2258704,0.0016914,0.1624853,0.0616937,6,0.0012115
30,0.0532779,0.0999093,0.000434,0.0994752,0,6,7.60E-06
31,0.0181192,0.0100714,0.0000502,0.0100212,0,6,1.13E-05
32,0.0195083,0.0205756,0.0000582,0.0183648,0.0021526,6,2.65E-05
33,0.8559179,1.779338,0.1120228,1.575396,0.0919193,6,0.0001337
34,0.013782,0.0259049,0.000029,0.0184696,0.0074062,6,2.00E-06
35,0.0151382,0.0192544,0.000035,0.0192193,0,6,1.80E-05
36,0.3604038,0.8046205,0.0198619,0.7560566,0.028702,6,0.0003599
37,0.1784695,0.4210453,0.0048705,0.4161748,0,6,0.0001799
38,0.0101968,0.0004399,0.0000159,0.000424,0,7,0
39,0.0827241,0.1960251,0.0010464,0.1949787,0,6,0.0001033
40,0.0047663,0.000275,0.0000035,0.0002332,0.0000383,7,0
41,0.4250266,0.5382982,0.0276232,0.5106749,0,6,0.0007969
42,0.0161869,0.0040378,0.0000401,0.0039977,0,6,0.0002262
43,0.0182028,0.0010879,0.0000507,0.0010372,0,7,0
44,0.0047506,0.0002834,0.0000035,0.0002799,0,7,0
45,0.0012262,0.000077,0.0000002,0.0000768,0,7,0
46,0.0026139,0.0001461,0.000001,0.000145,0,7,4.20E-06
47,0.0864732,0.0049036,0.0011434,0.003461,0.0002991,7,4.20E-06
48,0.0045184,0.0002732,0.0000031,0.0002655,0.0000045,7,4.20E-06
49,0.2050731,0.4848616,0.0064307,0.3651042,0.1133267,6,0.0002768
50,0.2087431,0.1171687,0.006663,0.1071384,0.0033673,6,4.80E-06
51,0.0087744,0.0005649,0.0000118,0.0005455,0.0000076,7,4.20E-06
52,0.0256257,0.0016236,0.0001004,0.001483,0.0000402,7,4.20E-06
53,0.0027694,0.0002636,0.0000012,0.0001762,0.0000862,7,4.20E-06
54,0.5502613,0.6234763,0.0462999,0.5126993,0.0644771,6,0.0007944
55,0.2304136,0.5893867,0.0081182,0.3972068,0.1840617,6,9.17E-05
56,4.050926,9.477006,2.509291,5.791925,1.17579,6,0.0053087
57,0.0253361,0.0011809,0.0000982,0.0010827,0,6,1.50E-06
58,0.0553135,0.0085057,0.0004678,0.006379,0.0016588,6,0.0001713
59,0.0663655,0.012693,0.0006735,0.0085371,0.0034824,6,0.0007451
60,0.8435728,2.155741,0.1088147,1.560456,0.4864702,6,0.0023466
61,0.0456827,0.0030602,0.0003191,0.0021997,0.0005414,7,0.0004662
62,0.0031356,0.001148,0.0000015,0.000353,0.0007935,6,0.0003409
63,0.0119515,0.0008408,0.0000218,0.0006386,0.0001803,7,0.0004662
64,0.0050474,0.000252,0.0000039,0.0002481,0,7,0.0004662
65,0.0154032,0.0018008,0.0000363,0.0017645,0,6,2.10E-06
66,0.1590733,0.0152216,0.0038693,0.0104719,0.0008804,6,0.0001808
67,0.0911461,0.0170277,0.0012703,0.0112086,0.0045488,6,0.0013144
68,0.3137403,0.5276131,0.0150516,0.3553491,0.1572123,6,0.0009011
69,0.0824022,0.011063,0.0010383,0.0082555,0.0017692,6,0.0001713
70,0.0188296,0.0023601,0.0000542,0.0020457,0.0002602,6,0.0001808
71,0.0559941,0.0081242,0.0004794,0.0074374,0.0002074,6,0.0009224
72,0.0710415,0.0047263,0.0007717,0.0037722,0.0001823,6,1.50E-06
73,0.0159469,0.000552,0.0000389,0.0005131,0,7,0.0001934
74,0.0116386,0.0006006,0.0000207,0.0005799,0,6,0
75,0.0385417,0.0330153,0.0002271,0.0238786,0.0089096,6,0.000294
76,0.177721,0.0632549,0.0048297,0.0549496,0.0034756,6,0.0023446
77,0.0127166,0.0004909,0.0000247,0.0004194,0.0000468,7,0.0001934
78,2.06936,6.600456,0.6548088,3.973994,1.971654,6,0.0037951
79,0.0102781,0.0116347,0.0000162,0.0082234,0.0033951,6,0.0006693
80,0.0205148,0.0138859,0.0000644,0.0073745,0.006447,6,0.0011066
81,0.0049137,0.0059286,0.0000037,0.0039909,0.001934,6,0.0008597
82,0.0285325,0.0244282,0.0001245,0.0142104,0.0100932,6,2.98E-05
83,0.0242167,0.014646,0.0000897,0.0088576,0.0056988,6,0.0003766
84,0.0316492,0.0245693,0.0001532,0.0236703,0.0007459,6,0.0007353
85,0.018743,0.0009595,0.0000537,0.0007013,0.0002044,7,0.0025186
86,0.0418821,0.0271288,0.0002682,0.0204042,0.0064563,6,0.0001029
87,0.0557251,0.0320675,0.0004748,0.0200888,0.0115038,6,3.00E-07
88,0.027476,0.0230373,0.0001154,0.0117472,0.0111746,6,0.0002522
89,0.0152251,0.0080291,0.0000354,0.0062962,0.0016974,6,0.0001907
90,0.0493626,0.0302737,0.0003726,0.0242728,0.0056283,6,0.0007199
91,0.0109721,0.0073552,0.0000184,0.0055347,0.0018021,6,0.0009016
92,0.2660577,0.4737118,0.0108242,0.453508,0.0093796,6,0.0008491
93,0.0341213,0.0094677,0.000178,0.0092896,0,7,2.05E-05
94,0.0244246,0.0145179,0.0000912,0.0080313,0.0063953,7,0.0011252
95,0.0497262,0.0989979,0.0003781,0.0784111,0.0202087,6,0.0003679
96,0.0356968,0.0566691,0.0001948,0.0564743,0,6,0.0001308
97,0.0095109,0.0106104,0.0000138,0.0105966,0,6,0.0002872
98,0.201749,0.0471857,0.0062239,0.0409618,0,7,6.37E-05
99,0.0474541,0.0353357,0.0003443,0.0155671,0.0194243,7,2.05E-05
100,0.0228537,0.0548219,0.0000799,0.0386618,0.0160802,6,0.0001882
101,0.0262982,0.0617297,0.0001058,0.0484906,0.0131333,6,0.0001499
102,0.0211758,0.0362412,0.0000686,0.0346573,0.0015153,6,0.0001642
103,0.0053361,0.0023192,0.0000044,0.0023149,0,7,1.34E-05
104,0.0778111,0.447353,0.0009258,0.159142,0.2872852,6,2.94E-05
105,0.1064097,0.0811096,0.0017314,0.044599,0.0347792,7,6.60E-05
106,0.1780824,0.0608998,0.0048494,0.0396336,0.0164169,7,0.0013627
107,0.2315336,0.7896273,0.0081973,0.4587817,0.3226483,6,9.82E-05
108,0.0404956,0.0706633,0.0002508,0.0704125,0,6,0.0003339
109,1.32725,3.023055,0.2693691,2.220231,0.5334542,6,0.0019003
110,0.0622276,0.1163076,0.0005921,0.1085631,0.0071524,6,0.0005797
111,0.0000001,0.0000002,0,0.0000002,0,6,5.60E-05
112,0.0445024,0.1053423,0.0003028,0.0845423,0.0204971,6,0.000349
113,0.006589,0.0007529,0.0000066,0.000743,0.0000032,7,0.0001147
114,0.0102006,0.0149539,0.0000159,0.014938,0,6,0.000108
115,0.8080186,2.511923,0.0998355,1.454379,0.9577081,6,0.0026532
116,0.0024423,0.0003231,0.0000009,0.0002953,0.0000269,7,0.0001147
117,0.1851051,0.0164918,0.0052394,0.0112495,0.000003,7,0
118,0.0066277,0.0390675,0.0000067,0.0108454,0.0282153,6,8.04E-05
119,0.0047206,0.0005736,0.0000034,0.0005688,0.0000014,7,0.0001147
120,0.0059108,0.0014333,0.0000053,0.0006846,0.0007433,7,0
121,0.0072197,0.0016744,0.000008,0.0008323,0.0008341,7,0
122,0.0626229,0.1864636,0.0005997,0.1005876,0.0852763,6,9.96E-05
123,0.0032122,0.0011587,0.0000016,0.0003885,0.0007687,7,0.0001147
124,0.2000327,0.4674858,0.0061185,0.3458353,0.1155321,6,0.0001318
125,0.0264227,0.024091,0.0001068,0.0239842,0,6,4.00E-07
126,0.0027689,0.0009635,0.0000012,0.0003445,0.0006178,7,0.0001147
127,0.1296443,0.2883164,0.0025701,0.2474814,0.0382649,6,0.0003039
128,0.0426876,0.0902772,0.0002786,0.0656324,0.0243662,6,8.00E-06
129,0.0069597,0.0131299,0.0000074,0.0131225,0,6,0.0001081
130,0.0013043,0.0011713,0.0000003,0.0011711,0,7,8.35E-05
131,0.0202823,0.0487307,0.0000629,0.0346631,0.0140046,6,2.98E-05
132,0.0172623,0.1174143,0.0000456,0.0175336,0.0998351,7,0
133,0.2951311,0.4795352,0.013319,0.3674247,0.0987914,6,2.51E-05
134,0.0031754,0.0059675,0.0000015,0.005219,0.000747,6,2.51E-05
135,0.4018971,0.84464,0.0246986,0.7040852,0.1158562,6,0.0001214
136,0.0375236,0.072759,0.0002153,0.0505196,0.0220241,6,1.36E-05
137,0.0076822,0.0124087,0.000009,0.0110229,0.0013768,6,4.35E-05
138,0.0132741,0.0265564,0.0000269,0.016977,0.0095524,6,9.80E-06
139,0.0144762,0.0129698,0.000032,0.0129378,0,7,0.0001036
140,0.0020234,0.0036717,0.0000006,0.0028393,0.0008317,6,4.35E-05
141,0.1294957,0.16935,0.0025642,0.1667858,0,6,1.09E-05
142,0.1066926,0.2399138,0.0017406,0.1967223,0.0414508,6,0.0002909
143,0.0123169,0.0093585,0.0000232,0.0093353,0,6,1.52E-05
144,0.0158394,0.0221299,0.0000384,0.0163726,0.0057188,6,2.40E-06
145,0.296925,0.5449423,0.0134814,0.5141931,0.0172678,6,0.0001081
146,0.0060864,0.0068063,0.0000057,0.0068007,0,6,2.84E-05
147,0.0517427,0.04476,0.0004094,0.0443506,0,7,3.94E-05
148,0.0150047,0.0166872,0.0000344,0.0139773,0.0026754,6,0
149,0.0095826,0.0084648,0.000014,0.0084507,0,7,4.50E-06
150,0.0144068,0.0131871,0.0000317,0.0131553,0,6,3.30E-06
151,0.0039741,0.0000184,0.0000024,0.0000159,0,8,0
152,0.0060253,0.004749,0.0000056,0.0047434,0,7,7.50E-06
153,0.0142232,0.0000469,0.0000309,0.000016,0,8,0
154,0.0509693,0.0525154,0.0003972,0.0513636,0.0007546,7,2.45E-05
155,1.412775,1.396369,0.3052028,0.8773805,0.2137861,7,0.0016282
156,0.0038851,0.0037907,0.0000023,0.0037884,0,7,2.90E-05
157,0.0025675,0.0025455,0.000001,0.0025445,0,7,9.63E-05
158,0.0553877,0.0613003,0.0004691,0.0465098,0.0143214,7,7.42E-05
159,0.4529783,0.4427503,0.031376,0.3641,0.0472743,7,0.0013873
160,0.0163835,0.0295677,0.000041,0.0161184,0.0134082,7,3.27E-05
161,0.0176042,0.0339153,0.0000474,0.0159431,0.0179248,7,4.25E-05
162,1.23622,1.144271,0.2336868,0.7996911,0.1108928,7,0.0018058
163,0.0266075,0.0251436,0.0001083,0.0131252,0.0119101,7,0
164,0.1276625,0.0874784,0.0024921,0.0837816,0.0012046,7,0.0002997
165,0.1456936,0.1095806,0.0032458,0.1007398,0.005595,7,0.0001547
166,0.1158667,0.1417356,0.0020529,0.1038402,0.0358425,7,0.0001413
167,0.041093,0.0216629,0.0002582,0.0186893,0.0027154,7,5.00E-06
168,0.0332268,0.0027598,0.0001688,0.0019128,0.0006781,9,0
169,0.0400728,0.03501,0.0002456,0.0123718,0.0223926,7,6.65E-05
170,0.0338835,0.0063994,0.0001756,0.0062239,0,7,0
171,0.2785209,0.0474183,0.011862,0.0330555,0.0025007,7,8.84E-05
172,0.6517977,0.2494729,0.0649633,0.1844295,0.0000801,7,0
173,0.0068733,0.0019366,0.0000072,0.0019294,0,7,1.78E-05
174,0.0841435,0.0056511,0.0010826,0.0038358,0.0007327,9,5.60E-06
175,0.3639058,0.0979852,0.0202498,0.0712948,0.0064405,7,0.0001618
176,0.0118593,0.0006804,0.0000215,0.0006582,0.0000006,9,5.60E-06
177,0.0695172,0.0181227,0.000739,0.0173838,0,7,2.40E-06
178,0.0054066,0.0003587,0.0000045,0.0003542,0,9,0
179,0.1022343,0.0074501,0.0015982,0.0051024,0.0007494,9,0
180,0.0894565,0.0060746,0.0012237,0.0047552,0.0000956,9,0
181,0.0552028,0.0034975,0.000466,0.0030281,0.0000033,10,0
182,0.2304141,0.0428156,0.0081182,0.0333455,0.0013519,10,2.07E-05
183,0.0167753,0.0011023,0.000043,0.0010593,0,10,2.50E-06
184,0.0478047,0.0333468,0.0003494,0.014425,0.0185723,10,3.92E-05
185,0.0047836,0.0019138,0.0000035,0.0015511,0.0003592,10,1.16E-05
186,0.0067224,0.0021915,0.0000069,0.0021846,0,10,1.16E-05
187,0.0952249,0.0623928,0.0013866,0.0401574,0.0208488,10,5.10E-05
188,0.0244839,0.0111841,0.0000917,0.0110925,0,10,5.10E-05
189,0.4987359,0.2642308,0.038035,0.1810212,0.0451746,10,5.89E-05
190,0.0182455,0.0094874,0.0000509,0.0094365,0,10,2.10E-06
191,0.003779,0.0015507,0.0000022,0.0015485,0,10,1.34E-05
192,0.0940196,0.1216761,0.0013517,0.0505594,0.069765,10,1.34E-05
193,0.0659818,0.0264616,0.0006657,0.0257959,0,10,1.40E-05
194,1.23605,0.5892923,0.2336225,0.3103959,0.0452738,10,4.54E-05
195,0.2695163,0.1690644,0.0111074,0.1351698,0.0227871,10,2.50E-06
196,0.0166027,0.0157521,0.0000421,0.0076672,0.0080427,10,0
197,0.0066213,0.0026266,0.0000067,0.0026199,0,11,0
