system:index,Long,Source,first,.geo
205,-90.07,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.07,16.52]}"
206,-90.17,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.17,16.41]}"
207,-90.36,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.36,16.32]}"
204,-90.3,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.3,16.45]}"
312,-90.6,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.6,15.81]}"
313,-90.6,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.6,15.81]}"
314,-90.61,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.61,15.82]}"
315,-90.62,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.62,15.82]}"
336,-90.93,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.93,15.87]}"
337,-90.91,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.91,15.85]}"
338,-90.91,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.91,15.85]}"
270,-90.93,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.93,16.86]}"
271,-90.93,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.93,16.86]}"
272,-90.93,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.93,16.85]}"
269,-90.92,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.92,16.86]}"
274,-90.91,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.91,16.87]}"
273,-90.92,Garcia et al. (2009),,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-90.92,16.87]}"
