Lat,Long,Source
12.63,-83.68,Chris Jordan
12.44,-83.75,Chris Jordan
12.7,-83.65,Chris Jordan
12.74,-83.69,Chris Jordan
11.37,-83.92,Chris Jordan
11.29,-83.94,Chris Jordan
11.26,-83.96,Chris Jordan
11.29,-83.94,Chris Jordan
11.31,-83.99,Chris Jordan
12.7,-83.65,Chris Jordan
12.69,-83.66,Chris Jordan
12.37,-83.74,Chris Jordan
12.33,-83.76,Chris Jordan
12.42,-83.75,Chris Jordan
12.4,-83.75,Chris Jordan
12.93,-83.63,Chris Jordan
12.98,-83.59,Chris Jordan
12.95,-83.63,Chris Jordan
12.97,-83.62,Chris Jordan
12.97,-83.6,Chris Jordan
12.93,-83.6,Chris Jordan
12.33,-83.76,Chris Jordan
12.97,-83.6,Chris Jordan
12.97,-83.62,Chris Jordan
11.31,-83.99,Chris Jordan
11.37,-83.92,Chris Jordan
11.4,-83.88,Chris Jordan
11.4,-83.87,Chris Jordan
11.62,-83.68,Chris Jordan
12.56,-83.78,Chris Jordan
12.51,-83.8,Chris Jordan
11.4,-83.87,Chris Jordan
12.63,-83.68,Chris Jordan
12.63,-83.68,Chris Jordan
12.63,-83.68,Chris Jordan
12.51,-83.8,Chris Jordan
12.74,-83.69,Chris Jordan
12.93,-83.58,Chris Jordan
11.38,-83.93,Chris Jordan
11.4,-83.87,Chris Jordan
12.63,-83.68,Chris Jordan
12.42,-83.85,Chris Jordan
12.63,-83.68,Chris Jordan
12.42,-83.84,Chris Jordan
11.42,-83.86,Chris Jordan
12.42,-83.84,Chris Jordan
12.93,-83.62,Chris Jordan
11.41,-83.86,Chris Jordan
11.41,-83.88,Chris Jordan
11.41,-83.87,Chris Jordan
12.52,-83.78,Chris Jordan
12.93,-83.61,Chris Jordan
12.93,-83.58,Chris Jordan
12.93,-83.63,Chris Jordan
12.64,-83.72,Chris Jordan
11.41,-83.88,Chris Jordan
12.63,-83.68,Chris Jordan
12.43,-83.78,Chris Jordan
12.93,-83.64,Chris Jordan
12.97,-83.62,Chris Jordan
12.94,-83.63,Chris Jordan
12.93,-83.64,Chris Jordan
12.93,-83.64,Chris Jordan
12.93,-83.64,Chris Jordan
12.94,-83.63,Chris Jordan
12.94,-83.63,Chris Jordan
12.42,-83.75,Chris Jordan
12.42,-83.75,Chris Jordan
12.33,-83.76,Chris Jordan
12.62,-83.68,Chris Jordan
12.69,-83.65,Chris Jordan
12.62,-83.7,Chris Jordan
11.31,-83.99,Chris Jordan
12.42,-83.85,Chris Jordan
11.31,-83.99,Chris Jordan
12.69,-83.66,Chris Jordan
11.29,-83.94,Chris Jordan
12.64,-83.72,Chris Jordan
12.39,-83.76,Chris Jordan
11.31,-83.99,Chris Jordan
11.41,-83.86,Chris Jordan
12.57,-83.79,Chris Jordan
11.42,-83.87,Chris Jordan
11.58,-83.72,Chris Jordan
11.29,-83.94,Chris Jordan
12.63,-83.68,Chris Jordan
12.56,-83.78,Chris Jordan
12.7,-83.65,Chris Jordan
11.41,-83.9,Chris Jordan
12.93,-83.59,Chris Jordan
12.56,-83.78,Chris Jordan
12.69,-83.66,Chris Jordan
12.94,-83.62,Chris Jordan
12.51,-83.8,Chris Jordan
11.61,-83.66,Chris Jordan
11.61,-83.66,Chris Jordan
11.66,-83.67,Chris Jordan
12.97,-83.6,Chris Jordan
11.37,-83.92,Chris Jordan
12.56,-83.78,Chris Jordan
11.27,-83.96,Chris Jordan
11.26,-83.96,Chris Jordan
11.31,-83.99,Chris Jordan
12.56,-83.76,Chris Jordan
11.39,-83.88,Chris Jordan
12.51,-83.8,Chris Jordan
12.56,-83.77,Chris Jordan
11.23,-83.97,Chris Jordan
11.26,-83.98,Chris Jordan
11.27,-83.95,Chris Jordan
11.27,-83.95,Chris Jordan
11.27,-83.95,Chris Jordan
12.42,-83.75,Chris Jordan
12.64,-83.72,Chris Jordan
11.41,-83.86,Chris Jordan
11.39,-83.88,Chris Jordan
11.39,-83.9,Chris Jordan
11.42,-83.87,Chris Jordan
11.4,-83.87,Chris Jordan
12.55,-83.78,Chris Jordan
12.52,-83.78,Chris Jordan
12.51,-83.8,Chris Jordan
12.56,-83.78,Chris Jordan
12.56,-83.77,Chris Jordan
12.62,-83.61,Chris Jordan
14.23,-84.18,Chris Jordan
14.23,-84.17,Chris Jordan
13.62,-84.32,Chris Jordan
13.62,-84.3,Chris Jordan
13.83,-84.3,Chris Jordan
13.81,-84.28,Chris Jordan
13.81,-84.3,Chris Jordan
14.13,-84.59,Chris Jordan
14.15,-84.62,Chris Jordan
14.17,-84.62,Chris Jordan
14.17,-84.6,Chris Jordan
14.16,-84.6,Chris Jordan
14.19,-84.6,Chris Jordan
14.49,-84.03,Chris Jordan
14.33,-83.88,Chris Jordan
12.02,-83.89,Chris Jordan
12.01,-83.88,Chris Jordan
11.81,-83.71,Chris Jordan
11.83,-83.71,Chris Jordan
14.63,-84.08,Chris Jordan
14.63,-84.09,Chris Jordan
14.54,-84.14,Chris Jordan
14.55,-84.15,Chris Jordan
14.53,-84.13,Chris Jordan
14.49,-84.2,Chris Jordan
14.48,-84.21,Chris Jordan
14.48,-84.23,Chris Jordan
14.19,-83.88,Chris Jordan
13.46,-84.08,Chris Jordan
13.47,-84.06,Chris Jordan
13.44,-84.03,Chris Jordan
13.42,-83.9,Chris Jordan
13.36,-84.03,Chris Jordan
13.34,-84.03,Chris Jordan
13.5,-83.86,Chris Jordan
13.57,-83.87,Chris Jordan
13.59,-83.9,Chris Jordan
13.58,-83.95,Chris Jordan
13.34,-84.27,Chris Jordan
13.41,-84.27,Chris Jordan
13.4,-84.28,Chris Jordan
12,-83.89,Chris Jordan
16.29,-89.88,Garcia et al. (2009)
