OBJECTID;Id;ORIG_FID;Patches;x;y
1;0;0;1;-83,6058273;8,5499706
2;0;1;2;-83,3190689;8,7929678
3;0;2;3;-83,4025421;8,8273792
4;0;3;4;-82,5772171;9,5752439
5;0;4;5;-82,6396942;9,6222420
6;0;5;6;-83,1593552;10,0455666
7;0;6;7;-83,2181625;10,1126251
8;0;7;8;-83,2153397;10,1316633
9;0;8;9;-83,2065430;10,1293640
10;0;9;10;-83,2701187;10,1451740
11;0;10;11;-83,2402802;10,1461544
12;0;11;12;-83,2759552;10,1765013
13;0;12;13;-83,3862305;10,3358717
14;0;13;14;-83,4958038;10,3771839
15;0;14;15;-83,4956131;10,3857880
16;0;15;16;-83,4700241;10,3837576
17;0;16;17;-83,4953156;10,4197254
18;0;17;18;-83,4693604;10,4097624
19;0;18;19;-83,4888611;10,4493427
20;0;19;20;-83,5012970;10,4704571
21;0;20;21;-83,5031509;10,4916401
22;0;21;22;-83,5000534;10,5050735
23;0;22;23;-83,5265121;10,5265894
24;0;23;24;-83,5930710;10,5488243
25;0;24;25;-83,5841522;10,5471411
26;0;25;26;-83,5417480;10,5664873
27;0;26;27;-83,6000519;10,5642090
28;0;27;28;-83,5914230;10,5700169
29;0;28;29;-83,5496140;10,5567541
30;0;29;30;-83,5811310;10,5737934
31;0;30;31;-83,6686172;10,5899649
32;0;31;32;-83,6545715;10,6005220
33;0;32;33;-83,5987549;10,5895042
34;0;33;34;-83,6477280;10,6119871
35;0;34;35;-83,6506348;10,6150188
36;0;35;36;-83,6245041;10,6263208
37;0;36;37;-83,6512985;10,6507339
38;0;37;38;-84,7447052;10,6730423
39;0;38;39;-83,6572571;10,6826973
40;0;39;40;-84,7429657;10,6779938
41;0;40;41;-83,7105865;10,6676960
42;0;41;42;-83,8372650;10,6930208
43;0;42;43;-84,7252350;10,6869841
44;0;43;44;-84,7462234;10,6934528
45;0;44;45;-84,7473526;10,6980791
46;0;45;46;-84,7251358;10,7012186
47;0;46;47;-84,7359085;10,6936121
48;0;47;48;-84,7279434;10,7043581
49;0;48;49;-83,7029572;10,7022877
50;0;49;50;-83,8091278;10,7048979
51;0;50;51;-84,7333755;10,7056341
52;0;51;52;-84,7427673;10,7054110
53;0;52;53;-84,7355118;10,7091007
54;0;53;54;-83,7698135;10,6950245
55;0;54;55;-83,7230453;10,7185984
56;0;55;56;-83,5907364;10,6559000
57;0;56;57;-83,9838943;10,7256584
58;0;57;58;-83,9173813;10,7257214
59;0;58;59;-83,8936234;10,7303410
60;0;59;60;-83,6833954;10,7146473
61;0;60;61;-84,7349777;10,7213879
62;0;61;62;-83,9460297;10,7414808
63;0;62;63;-84,7386093;10,7319918
64;0;63;64;-84,7438889;10,7349491
65;0;64;65;-83,9050217;10,7454815
66;0;65;66;-83,9551392;10,7398825
67;0;66;67;-83,8806763;10,7428913
68;0;67;68;-83,7552414;10,7366438
69;0;68;69;-83,9249344;10,7421780
70;0;69;70;-83,9525528;10,7526474
71;0;70;71;-83,8784943;10,7524824
72;0;71;72;-83,9776154;10,7601004
73;0;72;73;-84,7203674;10,7565079
74;0;73;74;-83,9939499;10,7659073
75;0;74;75;-83,7765350;10,7687569
76;0;75;76;-83,8172684;10,7627878
77;0;76;77;-84,7284012;10,7609100
78;0;77;78;-83,6624527;10,7567215
79;0;78;79;-83,7558289;10,7787209
80;0;79;80;-83,8165359;10,7772245
81;0;80;81;-83,7518616;10,7813931
82;0;81;82;-83,7887955;10,7803383
83;0;82;83;-83,8133774;10,7818394
84;0;83;84;-83,7622375;10,7837954
85;0;84;85;-84,7460403;10,7826195
86;0;85;86;-83,7952271;10,7926865
87;0;86;87;-83,8161087;10,7952881
88;0;87;88;-83,8051147;10,8096905
89;0;88;89;-83,8126068;10,8102465
90;0;89;90;-83,7888565;10,8146839
91;0;90;91;-83,7908020;10,8215942
92;0;91;92;-83,7224731;10,8099775
93;0;92;93;-84,8074036;10,8344307
94;0;93;94;-84,7881927;10,8346014
95;0;94;95;-83,7557526;10,8421793
96;0;95;96;-83,7428055;10,8459854
97;0;96;97;-83,7712097;10,8544273
98;0;97;98;-84,7390518;10,8384266
99;0;98;99;-84,7938385;10,8413019
100;0;99;100;-83,7522888;10,8533154
101;0;100;101;-83,7445602;10,8554325
102;0;101;102;-83,7574081;10,8597822
103;0;102;103;-84,8245621;10,8547497
104;0;103;104;-83,7007904;10,8620062
105;0;104;105;-84,8104401;10,8585968
106;0;105;106;-84,7663803;10,8450928
107;0;106;107;-83,7124710;10,8707867
108;0;107;108;-83,7833710;10,8834734
109;0;108;109;-83,6859207;10,8396168
110;0;109;110;-83,7805328;10,8797083
111;0;110;111;-83,7796936;10,8905182
112;0;111;112;-83,7567596;10,8830318
113;0;112;113;-84,9742813;10,8801126
114;0;113;114;-83,7913361;10,8944139
115;0;114;115;-83,7257080;10,8627758
116;0;115;116;-84,9710083;10,8846874
117;0;116;117;-84,9951630;10,8779860
118;0;117;118;-83,7874985;10,9022341
119;0;118;119;-84,9763489;10,8911800
120;0;119;120;-84,9887695;10,8923531
121;0;120;121;-84,9942245;10,8904629
122;0;121;122;-83,7995453;10,9058285
123;0;122;123;-84,9828720;10,8973837
124;0;123;124;-83,7754288;10,8999157
125;0;124;125;-83,6630020;10,9109573
126;0;125;126;-84,9799194;10,8998861
127;0;126;127;-83,7547913;10,9021511
128;0;127;128;-83,8184814;10,9083710
129;0;128;129;-83,7580032;10,9147387
130;0;129;130;-84,8161163;10,9063711
131;0;130;131;-83,7175064;10,9143639
132;0;131;132;-84,8845444;10,9035673
133;0;132;133;-83,6904297;10,9130116
134;0;133;134;-83,7419205;10,9270287
135;0;134;135;-83,7338562;10,9117870
136;0;135;136;-83,8130569;10,9231749
137;0;136;137;-83,7467880;10,9307261
