Species,Observation , Source , VariableClass , Location ,
Tapirus bairdii,Habitat in North of Wawashang Nature Reserve,Jordan et al. 2016 ,Habitat use,Nicaragua , 
Tapirus bairdii,Habitat in wetlands in the southeastern corner of of Wawashang Nature Reserve ,Jordan et al. 2016 ,Habitat use,Nicaragua , 
Tapirus bairdii,Habitat in mangrove swamps in the east of of Wawashang Nature Reserve ,Jordan et al. 2016 ,Habitat use,Nicaragua , 
Tapirus bairdii,Habitat of importance in the wetlands behind Bluefields ,Jordan et al. 2016 ,Habitat use,Nicaragua , 
Tapirus bairdii,"Severe nature degradation in Cerro Silva and Punta Gorda Nature Reserve, low probability of harboring tapirs",Jordan et al. 2016 ,Habitat use,Nicaragua ,  
Tapirus bairdii,None of the areas classified as agriculture before 2000 retain habitat occupancy of Tapirs,Jordan et al. 2016 ,Habitat use,Nicaragua & Costa Rica,
Tayasuu pecari,None of the areas classified as agriculture before 2000 retain habitat occupancy of White lipped peccaries ,Jordan et al. 2016 ,Habitat use,Nicaragua & Costa Rica,
Tapirus bairdii,Distance to agriculture frontier has a much larger impact for terrestrial mammal occupancy,Jordan et al. 2016 ,Habitat use,Nicaragua & Costa Rica, 
Panthera onca,None of the areas classified as agriculture before 2000 retain habitat occupancy of Jaguars,Jordan et al. 2016 ,Habitat use,Nicaragua & Costa Rica,
Tapirus bairdii,Home range of **Tapirus bairdii**: 2.32sqKm,Schank et al. 2015,Natural history ,Central America , 
Tapirus terrestris,For **Tapirus terrestris** dispersal distances up to 1.5Km,Schank et al. 2015,Natural history ,Brazil,
Tapirus bairdii,Temperature seasonality explains 33.9% of predicted habitat,Schank et al. 2015,Habitat use,Central America,
Tapirus bairdii,Precipitation seasonality explains 31.5% of predicted habitat,Schank et al. 2015,Habitat use,Central America,
Tapirus bairdii,Precipitation of dryest quarter explains 9.7% of predicted habitat,Schank et al. 2015,Habitat use,Central America,
Tapirus bairdii,Maximum temperature of warmest month explains 9.1% of predicted habitat,Schank et al. 2015,Habitat use,Central America,
Tapirus bairdii,"Tapirs are found in Tropical Rainforest, Semievergreen tropical rainforest, Montane fores, Pine and oak forest",Schank et al. 2015,Habitat use,Mexico,
Tapirus bairdii,Tapirs are present in Dry forest,Schank et al. 2015,Habitat use,Costa Rica,
Tapirus bairdii,Bosawas Biosphere a stronghold for Tapir populations,Schank et al. 2016,Population distribution ,Nicaragua, 
Tapirus bairdii,Indio Maíz Biosphere reserve a stronghold for Tapir populations,Schank et al. 2017,Population distribution ,Nicaragua, 
Tapirus bairdii,Forest remnants of the Caribbean Coast may function as important corrdor of suitable habitat between **Tapirus bairdii** populations,Schank et al. 2015,Population characteristics ,Nicaragua, 
Tapirus bairdii,"Poaching, deforestation more probably eliminated connectivity between tapir populations in the far north and in the far south",Schank et al. 2015,Population characteristics ,Nicaragua, 
Tapirus bairdii,"West part, far from the Caribbean Coast populations were hunted and is unsustainable for tapir populations ",Schank et al. 2015,Population distribution ,Nicaragua, 
Tapirus bairdii,Apparent Corridor in the Caribbean coast from Honduras to Costa Rica ,Schank et al. 2015,Population characteristics ,Nicaragua, 
Tapirus bairdii,Tapirs were observed using forest and exotic tree plantations in northern Costa Rica,Schank et al. 2015,Population characteristics ,Costa Rica, 
Tapirus bairdii,Tapirs may be resilient to colonize new forest patches if there is not enough forage and cover available in the biological corridors between them ,Schank et al. 2015,Population characteristics ,Costa Rica,
Tapirus bairdii,Tapirs are found in Santa Rosa National Park ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,Tapirs are found in Guanacaste National Park ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,Tapirs are found in Palo Verde National Park ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,Tapirs presence in dry forest may be undersampled ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,No Tapirs are present in the Nicoya Peninsula ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,Areas along caribbean coast between Limon and Cahuita National park likely represent areas where Tapirus bairdii is no longer present ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,The increase in pineapple production limits tapirs movements ,Schank et al. 2015,Population characteristics ,Costa Rica, 
Tapirus bairdii,Paved roads aned multilane highways are barrier to tapirs ,Schank et al. 2015,Population characteristics ,Costa Rica, 
Tapirus bairdii,Tapirs are found in Santa Rosa National PArk ,Schank et al. 2015,Population distribution ,Costa Rica, 
Tapirus bairdii,"Most of tapir suitable habitat is along the atlantic coast, protected areas connected by primary forests in indigenous territories such as Embara and Guna ",Schank et al. 2015,Population distribution ,Panama,
Tapirus bairdii,"Darien National Park could harbor tapirs, but no evidence is reported ",Schank et al. 2015,Population distribution ,Panama, 
Tapirus bairdii,Tapirus bairdii in the UICN red list (Castellanos 2008). In Mexico is considered an endangered species,Lira-Torres et al. 2014,Conservation status,Mexico,
Tapirus bairdii,Tapirus bairdii listed in the Appendix 1 of CITESº,Lira-Torres et al. 2014,Conservation status,Mexico,
Tapirus bairdii,Population of Tapirus bairdii have decreased more than 50% in the last 30 years,Lira-Torres et al. 2014,Conservation status,Mexico,
Tapirus bairdii,"Globally, population is estimated to be of 5500 adult individuals",Lira-Torres et al. 2014,Population characteristics ,Central America,
Tapirus bairdii,Mexico has a population of less than 1500 individuals (Castellanos 2008),Lira-Torres et al. 2014,Population characteristics ,Mexico,
Tapirus bairdii,"Fortaleza (Study area) has a population of 120 people grouped in 30 families, they hunt in the sourrounding tropical forest, including species like the tapir",Lira-Torres et al. 2014,Conservation status,Mexico,
Tapirus bairdii,Preys of the Jaguar includes the central american Tapir (Chavez et al. 2007),Lira-Torres et al. 2014,Natural history ,Central America,
Tapirus bairdii,The relative abundance index for the four year sampling study was of 6.77/1000 camera-night (n=61),Lira-Torres et al. 2014,Population characteristics ,Mexico,
Tapirus bairdii,"16 (26.22%) males, 3 (4.91%) females and unidentified (67.21%)",Lira-Torres et al. 2014,Population characteristics ,Mexico,
Tapirus bairdii,"95.08% adults, 3.27% juveniles, and 1.63% with a cub",Lira-Torres et al. 2014,Population characteristics ,Mexico,
Tapirus bairdii,Tapirus bairdii is a nocturnal species,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In dry season Bosque Tropical Perennifolio without hunting was the habitat more used by the tapir,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In dry season Secondary vegetation with hunting was used according to availability,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In dry season Bosque Tropical Perennifolio with hunting was the habitat less used by the tapir,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In wet season secondary with hunting habitat was used more than expected,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In wet season Bosque Tropical Perennifolio without hunting was the habitat less used by the tapir,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus bairdii,In dry season Bosque Tropical Perennifolio with hunting was used more than expected,Lira-Torres et al. 2014,Habitat use,Mexico,
Tapirus terrestris,Tapirus terrestris in Bolivian Chaco 11-60 records per 1000 night camera nights,Lira-Torres et al. 2014,Population characteristics ,Bolivia,
Tapirus terrestris,Tapirus terrestris in Bolivian humid forests 7 records pero 1000 night camera nights,Lira-Torres et al. 2014,Population characteristics ,Bolivia,
Tapirus terrestris,Tapirus terrestris in Brazil humid forests 2.71 records pero 1000 night camera nights,Lira-Torres et al. 2014,Population characteristics ,Brazil,
Tapirus terrestris,Tapirus indicus 4-19 records per 1000 night camera nights,Lira-Torres et al. 2014,Population characteristics ,Sumatra,
Tapirus bairdii,Tapirus bairdii 12 records per 1000 night camera traps in Chiquibul,Lira-Torres et al. 2014,Population characteristics ,Belice,
Tapirus bairdii,"Tapirus bairdii 37.57 record per 1000 night camera traps in Calakmul Biosphere reserve (Data probably is biased because sampling restricted to only aguadas lagoons which heavily influences the presence and recurrence in that particular biosphere reserve, due to scarcity of water bodies)",Lira-Torres et al. 2014,Population characteristics ,Mexico,
